smiles,pmic,n_meas
C/C(=C/C=C/c1ccccc1)C(O)C(C)(C)C(N)=O,2.413884577776609,1
C/C(=C/CC/C=C/CO)CC/C=C(/C)CC/C=C(\C)CO,4.369160917539238,1
C/C(=C/Sc1ccccc1)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,4.514345831839427,1
C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OCC(C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,6.398486007768802,1
C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,4.858895384744989,14
C/C(=C\C(=O)c1ccccc1)C[C@@H]1OCC(C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,4.956406749077028,2
C/C(=C\C1=C(C(=O)[O-])N2C(=O)[C@H]([C@@H](C)O)[C@H]2[C@H]1C)C[n+]1ccccc1,6.534527414041727,1
C/C(=C\CC[C@]1(C)CCc2ccc(C)c(C)c2O1)CCC[C@H](C)CCCC(C)C,3.202678994227727,1
C/C(=C\Cc1c(O)c(Cl)c(C)c(C(=O)O)c1O)CC/C=C(\C)CCCC(C)(C)O,4.7252631761576716,1
C/C(=C\Sc1ccccc1)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,5.418131246493022,1
C/C(=C\[C@@H]1CCCN1)C1=C(C(=O)O)N2C(=O)[C@H]([C@@H](C)O)[C@H]2C1,5.895170289006629,1
C/C(=C\c1cc(F)c(OC[C@H](F)C2CC2)cc1F)C(=O)N[C@@H]1[C@H](O)[C@@H](O)[C@H]2OCO[C@H]2[C@@H]1O,4.471148634412469,1
C/C(=C\c1ccc(O[C@@H]2O[C@H](C(C)O)[C@@H](O)[C@@H]2O)c(O)c1)C(=O)N[C@@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,3.5241666882416243,1
C/C(=C\c1ccc(O[C@@H]2O[C@H](C(C)O)[C@@H](O)[C@@H]2O)c(O)c1)C(=O)N[C@@H]1[C@H](O)[C@@H](O)[C@H]2OCO[C@H]2[C@@H]1O,4.409507069241675,1
C/C(=C\c1cnc([N+](=O)[O-])n1C)[N+](=O)[O-],5.326673741673879,1
C/C(=C\c1ncc(-c2cc([N+](=O)[O-])cs2)o1)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,4.1890742782263315,1
C/C(=C\c1ncc(-c2ccc([N+](=O)[O-])cc2)o1)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,3.882717487187211,1
C/C(=C\c1ncc(-c2ccc([N+](=O)[O-])o2)o1)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,4.4757601442201995,1
C/C(=C\c1ncc(-c2csc([N+](=O)[O-])c2)o1)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,4.1890742782263315,1
C/C(=C\c1ncc(-c2ncc([N+](=O)[O-])n2C)o1)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,5.6924318067507595,1
C/C(=N/NC(=O)c1ccc(-n2c(C)ccc2C)cc1)c1ccc(N)cc1,2.8406505039739907,1
C/C(=N/NC(=O)c1ccc(-n2c(C)ccc2C)cc1)c1ccccc1,2.821407398234393,1
C/C(=N/NC(=O)c1nc(C(C)C)cs1)c1ccc(Br)cc1,3.1658779395762506,1
C/C(=N/NC(=O)c1nc(C(C)C)cs1)c1ccc(C)cc1,3.0812248526281745,1
C/C(=N/NC(=O)c1nc(C(C)C)cs1)c1ccc(Cl)cc1,3.4107205605744304,1
C/C(=N/NC(=O)c1nc(C(C)C)cs1)c1ccc(O)cc1,3.3850869545131115,1
C/C(=N/NC(=O)c1nc(C(C)C)cs1)c1ccc([N+](=O)[O-])cc1,3.123701407871387,1
C/C(=N/NC(=O)c1nc(C(C)C)cs1)c1ccccc1,3.361558617030282,1
C/C(=N/Nc1ccc(Cl)cc1)c1c(O)ccc2c(C)cc(=O)oc12,3.836048004055399,1
C/C(=N/Nc1ccccc1C)c1c(O)ccc2c(C)cc(=O)oc12,3.63328527261259,1
C/C(=N/OC(=O)/C=C/c1ccccc1)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccc(C(F)(F)F)cc1,4.640581601354141,1
C/C(=N/OC(=O)/C=C/c1ccccc1)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccccc1F,4.899924633102802,1
C/C(=N/OC(=O)c1ccc(C(F)(F)F)cc1)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccc(C(F)(F)F)cc1,4.0706546809624005,1
C/C(=N/OC(=O)c1ccc(C(F)(F)F)cc1)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccccc1F,4.634136956310219,1
C/C(=N/OC(=O)c1ccc(Cl)cc1)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccc(C(F)(F)F)cc1,4.045153140351983,1
C/C(=N/OC(=O)c1ccc(Cl)cc1)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccccc1F,4.00412869349406,1
C/C(=N/OC(=O)c1ccc(F)cc1)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccc(C(F)(F)F)cc1,4.333106960646238,1
C/C(=N/OC(=O)c1ccc(F)cc1)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccccc1F,4.290765392630338,1
C/C(=N/OC(=O)c1ccccc1C)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccc(C(F)(F)F)cc1,4.028868000511985,1
C/C(=N/OC(=O)c1ccccc1C)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccccc1F,3.9861964729115176,1
C/C(=N/OC(=O)c1ccccc1F)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccc(C(F)(F)F)cc1,4.032076964982257,1
C/C(=N/OC(=O)c1ccccc1F)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccccc1F,4.290765392630338,1
C/C(=N/OC(=O)c1ccccc1[N+](=O)[O-])N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccc(C(F)(F)F)cc1,4.053335869212425,1
C/C(=N/OC(=O)c1ccccc1[N+](=O)[O-])N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccccc1F,4.0131137358644855,1
C/C(=N/OC(=O)c1ccco1)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccc(C(F)(F)F)cc1,5.212974695594118,1
C/C(=N/OC(=O)c1ccco1)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccccc1F,5.469352397262213,1
C/C(=N\N(C)C)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.55966249010938,1
C/C(=N\N(C)S(=O)(=O)c1ccccc1)c1ccccc1O,2.4834032711604594,1
C/C(=N\N1C(=O)C(C#N)C=C1c1ccccc1)c1cc2c(ccc3ccccc32)oc1=O,3.2247298360336294,1
C/C(=N\N1CCN(C)CC1)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.913963318270456,1
C/C(=N\N1CCN(CCO)CC1)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.93887546591604,1
C/C(=N\N1CCOC1=O)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.297093132294786,1
C/C(=N\N1CCOCC1)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.297131696515924,1
C/C(=N\N=C1/CC(c2ccccc2)NC(c2ccccc2)C1C)c1ccccc1,4.484610711385051,1
C/C(=N\NC(=N)N)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.271824884715811,1
C/C(=N\NC(=O)/C(C#N)=C/c1ccc(Cl)cc1)c1cc2c(ccc3ccccc32)oc1=O,3.24735843962317,1
C/C(=N\NC(=O)/C(C#N)=C/c1ccc(F)cc1)c1cc2c(ccc3ccccc32)oc1=O,3.230876873723276,1
C/C(=N\NC(=O)/C(C#N)=C/c1cccnc1)c1cc2c(ccc3ccccc32)oc1=O,3.514193797910574,1
C/C(=N\NC(=O)/C(C#N)=C\c1ccc(F)cc1)c1nc(-c2ccccc2)[nH]c1C,4.247735679960811,1
C/C(=N\NC(=O)/C(C#N)=N/Nc1ccc(C)cc1)c1cc2c(ccc3ccccc32)oc1=O,3.5440273428459284,1
C/C(=N\NC(=O)CC#N)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,3.9934256485742115,1
C/C(=N\NC(=O)CC#N)c1cc2c(ccc3ccccc32)oc1=O,3.4073161075909573,1
C/C(=N\NC(=O)CSc1nnc(-c2nc(C(C)C)cs2)n1-c1ccccc1)c1ccc(Br)cc1,3.948825154242535,1
C/C(=N\NC(=O)CSc1nnc(-c2nc(C(C)C)cs2)n1-c1ccccc1)c1ccc(C)cc1,3.593868871243698,1
C/C(=N\NC(=O)CSc1nnc(-c2nc(C(C)C)cs2)n1-c1ccccc1)c1ccc(Cl)cc1,4.504365504418869,1
C/C(=N\NC(=O)CSc1nnc(-c2nc(C(C)C)cs2)n1-c1ccccc1)c1ccc(O)cc1,4.4884008731576275,1
C/C(=N\NC(=O)CSc1nnc(-c2nc(C(C)C)cs2)n1-c1ccccc1)c1ccc([N+](=O)[O-])cc1,3.9214808781081594,1
C/C(=N\NC(=O)Cc1ccccc1)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.036290269151844,1
C/C(=N\NC(=O)Nc1ccccc1Cl)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,3.762685314366399,1
C/C(=N\NC(=O)c1cc2c(ccc3ccccc32)oc1=O)c1cc2c(ccc3ccccc32)oc1=O,3.7044709976262347,1
C/C(=N\NC(=O)c1ccc(-n2cccc2)cc1)c1ccccc1,3.3850554606618966,1
C/C(=N\NC(=O)c1ccc(N)cc1)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.037078923306703,1
C/C(=N\NC(=O)c1ccc(O)cc1)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.03786296363698,1
C/C(=N\NC(=O)c1cccnc1)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,3.7247156772769254,1
C/C(=N\NC(=O)c1ccncc1)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.025745672940907,1
C/C(=N\NC(=O)c1sc(=S)n(-c2ccccc2)c1N)c1cc2c(ccc3ccccc32)oc1=O,3.71541287808311,1
